Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
877.952	1e-05	2453618560000000.0	13323862400.0	2.969777449314022	4.068582366275495e-12	5.09419629e-13	2.2957701e-10	1.40948864e-22	0.844883959	0.0638545593	6.21549422e-13	0.0911143499	4.1069263599999995e-17	2.51702678e-16	5.72966657e-25	3.00611699e-11	8.85845313e-16	2.6446730900000003e-15	1.42520848e-26	9.36914264e-32	0.0	5.30909819e-40	6.83110912e-12	1.2427682400000002e-15	9.055008620000001e-29	2.3850850999999998e-17	6.92553058e-20	2.30920936e-30	1.8766047700000002e-37	0.0	2.8726033e-13	3.5466750500000004e-26	3.00470968e-19	0.000135540985	8.39598364e-17	2.12039196e-13	2.28947657e-18	6.33809933e-16	5.63538028e-30	9.86560499e-15	5.60055441e-41	7.1260701e-45	5.72318644e-32	2.20626768e-55	3.42207403e-70	5.899605279999999e-28	7.049003250000001e-20	2.33896395e-31	1.33551943e-31	5.54577889e-29	5.557953960000001e-23	4.34171967e-49	1.47761869e-34	3.68181491e-53	0.0	1.3339493500000002e-41	1.08594817e-19	5.55492663e-27	2.3068711399999998e-36	5.55023415e-15	8.72670715e-37	6.29435981e-29	1.0900803900000001e-41	1.9401324000000002e-21	1.58551558e-30	3.903400459999999e-34	1.0354215300000001e-16	9.22521203e-12	3.62140363e-24	2.3002449e-13	1.00021928e-23	7.86974577e-06	5.76481012e-26	1.83906465e-18	3.897728220000001e-15	1.10229756e-26	5.12971547e-33	3.2764070600000003e-21	8.42195573e-38	3.30643957e-31	1.3534169800000001e-64	6.3287029299999995e-136	3.57041053e-22	2.50696488e-44	1.0907311200000001e-21	1.26501791e-29	1.2630369099999999e-46	5.3905483799999995e-46	2.16758606e-44	0.0
874.941487	1.81239807e-05	812246050000.0	10498055800.0	2.92107559204193	7.277921329989435e-12	2.56107442e-11	1.20328702e-08	4.67570469e-18	0.848808389	0.0623571412	1.13619612e-12	0.0886670825	2.6578520200000003e-21	1.44806964e-26	9.0602755e-31	5.41746734e-11	2.8346624100000004e-21	9.911989919999999e-18	1.11896024e-29	7.607464800000001e-31	2.2270880100000003e-31	9.48584914e-38	2.5397949e-05	1.43374468e-11	2.21874981e-38	2.3269030700000002e-27	1.17531079e-21	4.10636236e-40	3.26670234e-45	7.2227738e-33	2.14676367e-11	2.7347376e-29	9.26289402e-25	0.000133979219	1.56422424e-16	4.66152447e-13	7.98486115e-18	3.93342781e-14	7.06047188e-28	4.32185832e-09	3.68846284e-38	1.6758526799999997e-42	4.48362344e-26	9.4546092e-53	1.84555251e-65	6.57409418e-26	4.0911017e-30	3.60776317e-27	2.64025085e-29	1.83914819e-26	1.84369486e-20	3.11745303e-57	3.8555208e-43	4.93888832e-61	4.45697429e-32	1.3967377600000001e-37	7.25014922e-18	1.03433719e-24	1.0754177799999999e-32	2.00168146e-20	1.19910535e-44	1.09481441e-32	1.85881938e-40	1.03580332e-19	2.86848961e-28	1.16686419e-31	9.28970851e-20	2.8418295399999996e-17	5.97824767e-27	3.86382888e-12	8.62346227e-22	7.99356867e-06	2.25491382e-25	1.7890760100000002e-16	1.08893099e-14	4.05273595e-24	4.95689793e-32	6.4451047500000005e-21	6.05459739e-37	2.3686897e-27	3.8117471399999997e-63	0.0	2.6633817e-26	1.81592817e-43	1.55640707e-20	3.8443450900000002e-25	1.1193999299999998e-42	5.11532637e-54	4.3271086500000006e-52	0.0
868.404914	3.28478678e-05	14520497500.0	8269971720.0	2.851375644891298	1.2972668710228664e-11	5.2347853e-11	2.47185034e-08	3.4512390399999996e-17	0.854369069	0.0599551533	2.12714893e-12	0.0854476536	1.16013181e-20	4.5864620000000004e-27	1.67422359e-31	1.00372466e-10	4.409877e-22	3.6774896e-17	4.2837472e-30	1.8892281700000001e-31	4.42421345e-32	3.68993714e-38	9.34295738e-05	2.7075553e-11	1.83452065e-38	1.15773742e-27	1.43047147e-20	3.7427230599999994e-40	4.8079910800000003e-45	2.26209292e-33	4.47862868e-11	1.02335654e-29	1.34976345e-25	0.000127244087	2.80224249e-16	8.79738596e-13	3.24115605e-17	8.470937e-14	4.00489157e-27	1.42290664e-08	7.241852220000001e-37	1.73284637e-41	2.5927930900000002e-25	1.78996887e-51	1.9503965899999998e-63	2.61519137e-25	1.9197178e-30	4.37466747e-26	1.7802271899999998e-28	9.404346870000001e-26	2.2708722200000003e-21	5.33208995e-57	3.66171646e-43	1.71747637e-60	1.4170074e-32	2.0839219099999998e-36	2.7500902499999998e-17	4.96472434e-24	8.48548469e-32	3.52016586e-21	9.22398236e-45	4.16018461e-33	9.03490443e-41	3.18647543e-19	1.63784688e-27	9.04616859e-31	2.28570073e-20	4.65189058e-18	3.00230505e-27	4.59660677e-13	3.45929205e-22	7.41099495e-06	7.09574939e-25	5.4146632900000005e-16	1.97499785e-14	2.3413105800000002e-23	2.8207776300000003e-31	1.1211709e-20	3.5598009199999994e-36	2.4000764300000002e-26	7.98537318e-62	7.6886554e-113	1.0492540000000002e-25	9.732751180000001e-43	1.29640486e-21	8.771403290000001e-26	8.787593289999999e-42	1.40253557e-53	7.861898440000001e-52	0.0
856.978267	5.95334123e-05	1816524300.0	6513531240.0	2.7820848116328993	2.3246164817845837e-11	1.07721682e-10	5.12325911e-08	2.54274372e-16	0.860950727	0.0597658599	4.01327208e-12	0.0788212246	4.6732948600000004e-20	2.13944854e-27	4.5103611e-32	1.73183232e-10	7.72777596e-22	1.27151144e-16	3.3706944500000004e-30	6.20818969e-32	1.24722855e-32	2.14419343e-38	0.00033857591	1.58887047e-10	3.3894312e-38	1.18190531e-27	1.71654287e-19	7.01443382e-40	1.0432310500000001e-44	9.81907696e-34	1.03452971e-10	8.29651433e-30	2.25931213e-25	0.000117104954	4.87521382e-16	1.47182602e-12	1.16567621e-16	1.8035477e-13	3.0402741800000003e-26	4.04945852e-08	1.91939395e-35	2.3550454899999998e-40	1.25359926e-24	4.4626762600000005e-50	3.7079692299999995e-61	1.03619807e-24	5.19175588e-30	5.276640040000001e-25	1.2218962300000001e-27	4.54135818e-25	3.26641558e-22	1.7482395799999999e-56	1.81833304e-42	1.24169068e-59	6.32102384e-33	3.17038844e-35	1.11604473e-16	2.48668505e-23	7.01567365e-31	6.0365669600000004e-21	1.31949077e-44	3.0479276e-33	5.3146751e-41	8.47656796e-19	8.26354713e-27	5.64130306e-30	9.96928776e-21	9.280953759999999e-18	2.82593057e-27	8.91521093e-14	2.27830919e-22	6.41519341e-06	2.0311198399999998e-24	1.5064165300000002e-15	3.06561798e-14	1.24283888e-22	1.31176949e-30	1.83987763e-20	1.94831025e-35	2.17839082e-25	1.5485197400000002e-60	0.0	3.5721099400000002e-25	4.44120025e-42	1.33195049e-22	3.1968171e-26	4.83243292e-41	4.624032360000001e-53	1.9493766200000002e-51	0.0
845.797102	0.000107898242	552143504.0	5129190430.0	2.5894687249765784	3.97327684065998e-11	2.37387941e-10	1.29628699e-07	2.41904586e-15	0.876113117	0.0497714223	7.63497813e-12	0.0727810318	2.31433844e-19	1.15447686e-26	7.90103445e-32	3.50850599e-10	9.213765150000001e-21	6.32492292e-16	3.8727752200000004e-29	1.77716353e-31	2.67727547e-32	9.68048098e-38	0.00122069099	1.31610085e-09	7.69762013e-37	1.47812036e-26	2.03391549e-18	1.62866623e-38	2.6772006e-43	2.51355979e-33	2.13482489e-10	8.1243042e-29	2.12828271e-24	0.000108166899	9.00397451e-16	3.38155895e-12	8.34889616e-16	4.06232569e-13	5.72723889e-25	1.57318019e-07	1.36313268e-33	8.469642119999999e-39	8.42758638e-24	2.9635309599999995e-48	4.11893408e-58	4.5972959399999994e-24	6.2639594e-29	1.04792867e-23	7.0533287e-27	2.4886884399999998e-24	3.30836734e-22	1.62843716e-54	4.81177998e-41	2.54946921e-57	1.66221771e-32	5.44191202e-34	6.616439520000001e-16	1.05511675e-22	6.620338300000001e-30	7.79640152e-20	4.02356485e-43	3.91696898e-32	3.69867087e-40	2.52171519e-18	4.6200882400000005e-26	4.1240789600000004e-29	5.0186316e-20	1.22732489e-16	3.0586336700000004e-26	1.25343015e-13	1.1273925500000001e-21	5.28147388e-06	5.93808452e-24	3.84254525e-15	6.16618835e-14	7.27187979e-22	7.50813484e-30	3.13991743e-20	1.08826114e-34	1.8170592099999998e-24	3.4474795900000002e-59	4.45402085e-95	1.4242625399999999e-24	2.00664917e-41	9.892671600000001e-23	8.69087157e-26	2.67006737e-40	1.81189571e-51	6.15845357e-50	0.0
838.894788	0.000195554565	251170990.0	4038351340.0	2.2936290665745562	6.430927682677328e-11	5.03381801e-10	3.03960756e-07	2.05255218e-14	0.901839234	0.0367448899	1.19747285e-11	0.0576396487	8.88550112e-19	1.36906775e-25	1.90978923e-31	5.60254774e-10	1.09774789e-19	2.73160366e-15	8.547314409999999e-28	1.24510051e-31	0.0	0.0	0.00367195405	9.06038772e-09	2.0564250799999999e-35	2.23323983e-25	1.9586973899999997e-17	4.564709520000001e-37	1.3353605500000002e-41	0.0	4.30270753e-10	1.31920427e-27	1.77873094e-23	9.96703056e-05	1.5564003600000001e-15	7.30216579e-12	5.76863255e-15	1.01931537e-12	1.01936307e-23	5.59873737e-07	8.970887549999999e-32	2.64044571e-37	5.36487271e-23	1.70288042e-46	3.66624343e-55	2.29865549e-23	7.74432863e-28	1.48966527e-22	3.6658139600000003e-26	1.14677836e-23	1.76358412e-25	3.19338076e-52	1.25251777e-39	1.0250784099999999e-54	0.0	9.72104004e-33	3.2732765500000004e-15	4.1620536999999997e-22	5.55456911e-29	7.75761583e-19	2.55183394e-41	1.08464936e-30	5.69291381e-40	6.0842153e-18	2.52667044e-25	2.43791311e-28	4.85823625e-19	1.2775857100000001e-15	5.97354786e-25	0.0	0.0	3.72860567e-06	1.36724422e-23	8.37082833e-15	9.35966297e-14	3.3753864300000002e-21	2.7211025200000004e-29	5.0950882100000005e-20	4.692584459999999e-34	1.2659805900000001e-23	5.23900794e-58	0.0	3.7730692e-24	6.06564364e-41	7.9954751e-26	0.0	1.37951851e-39	1.1387008899999999e-49	4.07158979e-48	0.0
835.170407	0.000354422718	137424459.0	3178963760.0	1.882853943274623	9.610656750489669e-11	1.08712658e-09	7.52696726e-07	1.84175951e-13	0.939509319	0.0188867634	1.32628078e-11	0.0331696129	2.6668448399999998e-18	6.031146090000001e-23	2.10130277e-28	6.44221972e-10	3.6012104699999996e-18	1.21467462e-14	5.16868351e-25	1.65818004e-27	7.40053688e-29	1.06427568e-33	0.00836032785	4.67171201e-08	3.1983853099999997e-33	1.6932784900000002e-23	1.36613187e-16	6.43457492e-35	2.35173578e-38	4.09611162e-30	8.2647965e-10	3.99100143e-25	2.8443357e-22	6.97078907e-05	1.91590911e-15	1.46448228e-11	5.32342718e-14	2.72460216e-12	2.24321767e-22	1.23104462e-06	7.56372235e-30	7.13505474e-36	2.1744931399999997e-22	8.49392058e-45	4.40962488e-52	1.27030811e-22	2.03257993e-26	1.87280965e-21	1.26512036e-25	2.56153147e-23	2.48383953e-19	2.9107151299999996e-48	7.48120295e-38	1.80347946e-50	2.77181784e-29	1.8274003400000002e-31	1.47137916e-14	1.5155068800000002e-21	4.6761290399999995e-28	1.3012447599999998e-17	0.0	8.94909963e-28	1.49572322e-35	1.3545125599999998e-17	2.07080615e-24	1.49583998e-27	1.2799122e-16	2.44018145e-14	3.02349327e-22	1.07637084e-10	1.2227307e-17	2.23579419e-06	2.6525634900000003e-23	1.87439884e-14	1.26981985e-13	1.41938201e-20	7.431114220000001e-29	7.32286516e-20	1.67952988e-33	1.08867749e-22	6.01461109e-57	4.1600721999999997e-88	6.78132977e-24	1.30720667e-40	4.52924454e-20	2.88142478e-22	3.79699685e-37	2.24826921e-46	1.2749781e-44	0.0
832.68834	0.000642355051	83467942.0	2502043780.0	1.5439857636084138	1.4326032481719836e-10	3.02834329e-09	5.27118971e-06	5.76645962e-12	0.972707158	0.00248416146	8.12067676e-12	0.0106259829	1.3743999299999999e-17	7.323744610000001e-21	4.2423595e-26	3.67118437e-10	1.0048883100000002e-15	1.27340518e-13	5.2020351e-23	2.6589220400000003e-25	3.11008458e-28	8.64303779e-33	0.014088526	2.23880359e-07	3.45735803e-31	3.0116354e-22	6.51618147e-16	2.11916382e-33	1.45037245e-35	2.5055631700000002e-30	8.7842713e-10	5.15062202e-24	1.00013198e-20	7.17891207e-05	3.8222432700000006e-15	1.47006476e-10	1.68551243e-11	2.44082214e-11	1.47562699e-19	1.55374134e-05	3.79984261e-26	9.32951978e-33	5.072204320000001e-21	2.04418072e-41	4.28433986e-46	3.51720038e-21	8.08105604e-24	3.97321218e-19	3.3854073900000003e-25	1.87315583e-22	4.183685800000001e-15	2.20817882e-43	5.02435855e-34	2.62013299e-45	1.70067284e-29	1.44258645e-29	4.18578839e-13	2.99896568e-21	6.52108847e-27	1.04689077e-15	1.30307946e-28	6.309946720000001e-23	8.98438112e-32	8.553203079999999e-17	1.08997158e-22	6.05849753e-26	3.9758043400000004e-15	2.25790888e-12	1.77048405e-20	1.68429093e-10	1.01811956e-16	1.34581351e-06	1.48113978e-22	6.93282159e-14	1.71559588e-13	7.71783759e-20	2.0550295e-28	5.20958523e-19	1.7199703199999998e-32	2.7300018400000003e-21	5.8855463699999994e-55	0.0	1.98679388e-23	8.12403642e-40	2.9174078799999997e-19	1.2403082000000001e-21	0.0	3.31841763e-43	2.9417155800000004e-41	0.0
831.531804	0.00116420306	54964698.5	1968946220.0	1.3596303996943975	2.2896058078650838e-10	9.4716516e-11	0.00230885493	1.20176949e-10	0.982270162	1.06032783e-07	1.33193202e-11	0.00230599294	4.622801210000001e-15	0.0	1.44489885e-19	1.86085633e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0109245791	2.19805401e-09	0.0	1.2667928500000001e-21	1.2872251300000001e-15	1.62048685e-32	0.0	0.0	3.855099900000001e-15	0.0	0.0	0.00215680974	8.0879467e-12	1.28428683e-11	7.59290337e-10	5.38311495e-11	1.0526534599999998e-17	3.29544746e-05	1.5936487800000001e-21	1.40480442e-27	1.94741174e-20	5.592109e-36	4.5605423999999997e-42	8.887305420000002e-21	0.0	2.22067866e-19	6.801047540000001e-29	6.33291868e-19	0.0	0.0	0.0	0.0	0.0	3.01778441e-30	5.0974191e-16	2.4154551700000002e-26	1.1560881500000001e-29	0.0	0.0	0.0	0.0	2.01403622e-14	2.60793736e-19	5.9997584800000006e-21	0.0	0.0	0.0	0.0	0.0	5.37740368e-07	2.41229395e-20	2.1037295e-15	2.14897974e-16	3.6902830100000004e-20	4.5725242e-31	9.02003827e-15	5.11693376e-30	6.5720510499999996e-24	4.97640234e-50	8.211775939999999e-89	2.36202313e-21	9.5849275e-38	0.0	0.0	6.50043521e-25	0.0	0.0	0.0
832.0556	0.00210999938	41229360.1	1549195580.0	1.699411509619802	5.183445240870781e-10	5.3310062700000005e-16	0.0077282256	5.48537404e-15	0.968561079	5.94701647e-14	6.18477772e-09	2.49914656e-06	1.23608456e-09	1.22214524e-08	6.42454859e-12	4.86809938e-05	0.0010720015	2.30052519e-05	7.72741599e-12	5.4549397e-13	2.5180034100000002e-20	1.00513827e-20	0.0200154767	2.70666505e-13	7.89908581e-26	1.1738808500000001e-20	5.4397034600000006e-15	3.03532676e-31	1.4506183500000002e-29	8.87257847e-23	8.07342336e-22	9.055781210000001e-20	3.19326185e-19	4.5293523e-10	8.19812652e-18	6.39014691e-07	0.000138551288	6.377219329999999e-17	6.35155757e-19	3.45844807e-06	6.23231928e-22	9.91018035e-35	3.70490327e-21	8.09487751e-43	3.34577298e-44	1.56839015e-26	2.02445662e-16	1.1795612899999998e-18	2.54004828e-39	2.14631388e-25	0.00181043449	1.5879752e-30	7.20181949e-24	6.2035545e-32	4.7656211100000004e-30	2.4466728499999998e-39	7.42818064e-16	0.0	0.0	1.06735395e-06	5.721116430000001e-15	7.12598511e-09	3.04453022e-16	1.15346294e-16	7.38560447e-17	1.22148287e-22	4.3697441e-06	0.000588648472	7.027899e-11	1.93293071e-07	3.14439101e-10	7.25544181e-10	3.3725313200000003e-25	6.82501881e-23	1.40000817e-06	1.39837657e-19	2.4363135900000002e-23	2.08390648e-18	1.2972929199999998e-34	1.9132342e-31	2.98769709e-59	0.0	5.781660049999999e-17	3.30681046e-45	2.36636543e-07	1.82069265e-16	0.0	2.61167558e-30	1.46777433e-25	0.0
834.197621	0.00382415881	33303329.9	1218740370.0	2.0501198132946477	1.1304105319060395e-09	1.58932421e-20	0.00541103261	1.99515098e-19	0.958376115	1.75894375e-19	4.03289325e-09	9.61124748e-07	1.34989038e-09	1.24402722e-08	4.86998483e-12	3.27554416e-05	0.00179851714	1.96368882e-05	2.32614406e-11	2.4745203e-12	1.21008909e-19	1.84432801e-20	0.0312443898	3.3014449099999994e-17	3.18330963e-30	5.03488197e-22	1.81465574e-14	2.11243639e-32	7.83234309e-34	2.56647888e-22	9.95493789e-25	1.5305604599999999e-19	1.13944525e-19	7.200016309999999e-17	2.12727645e-24	4.49351943e-07	7.41116544e-05	3.5241069e-22	3.5946226e-23	5.79370455e-06	5.236394620000001e-26	2.56947851e-35	1.1379144000000001e-20	3.3560755800000002e-43	1.27903714e-51	1.5605765e-31	1.86955983e-16	6.69694946e-23	1.21142755e-44	9.24021443e-32	0.00266739086	9.37132366e-35	4.81670965e-24	6.38659014e-36	1.01303033e-29	3.69922671e-48	5.83110101e-20	2.43201795e-35	1.66560026e-43	1.20845636e-06	2.2520285600000003e-15	3.02019728e-09	8.24235376e-16	1.5166974300000002e-21	3.9704148800000005e-15	1.16919733e-27	4.63354512e-06	0.00035632182	1.38031827e-10	2.66045955e-06	7.15672293e-09	1.14419725e-14	5.3791569e-32	1.0660359500000001e-25	3.39929699e-06	1.05349943e-23	2.92663072e-27	2.0202710300000003e-21	5.3845229e-41	1.65091352e-38	5.2121263e-70	1.03732808e-81	2.48698415e-16	1.63685415e-54	5.91571846e-07	1.83901968e-15	2.1866318599999998e-18	6.40619859e-35	8.32808789e-30	0.0
837.842447	0.00693089805	28552814.0	958637345.0	2.660929820550809	2.647588903096486e-09	3.6339538e-23	0.083268137	5.4893036200000004e-21	0.859248294	2.92278326e-22	4.55275913e-09	2.28054676e-07	2.50196565e-09	2.04722732e-07	1.28624417e-09	2.90363384e-07	0.00768191873	2.06802855e-06	1.77014845e-10	5.76368049e-11	8.59544486e-18	9.56461849e-18	0.0480407531	2.25366986e-20	5.82589722e-29	2.1863687600000002e-20	5.52686721e-14	1.6570639300000002e-30	2.47532152e-33	1.2908043600000001e-20	1.6159971e-25	4.71172147e-18	3.90813466e-19	1.49647139e-17	2.76615827e-24	2.55332196e-08	9.82278977e-05	8.83593e-27	6.67463135e-27	5.92774038e-06	2.9084321399999998e-28	9.10451682e-34	2.10214767e-20	2.1514159600000002e-41	1.1831735099999998e-48	7.01447242e-36	4.50838405e-16	1.2229765300000001e-26	1.1272434099999998e-48	4.62342776e-38	0.00127731786	3.2656022100000002e-37	2.0720079799999999e-22	3.77931151e-38	9.23381426e-27	1.38582703e-56	6.281006810000001e-25	3.68706737e-35	8.21841172e-42	3.09618252e-07	4.63673458e-14	2.86190162e-09	2.58581474e-15	2.90375906e-18	1.20045961e-14	4.02582314e-23	8.05470271e-06	0.000360333381	6.19084158e-10	2.09632857e-06	1.76647681e-07	1.12669362e-12	4.57807087e-29	9.303461720000001e-25	5.20290222e-06	4.2849762e-24	7.691984319999999e-24	1.70049801e-24	5.61889374e-38	2.97233282e-44	4.6279529e-66	0.0	6.80955125e-16	1.96824288e-49	4.19419385e-07	1.3262533e-14	2.4738648499999997e-17	4.03424152e-30	1.3464862500000002e-26	0.0
843.084186	0.0125615463	25693693.2	753937673.0	3.749112087233657	6.718782228359259e-09	3.96062734e-22	0.335188581	3.3503596e-19	0.575350734	5.299724e-22	4.47552516e-09	8.23017154e-08	4.02139094e-09	5.36014805e-07	2.00120201e-08	8.53723749e-09	0.0140179417	3.52424681e-07	5.71185421e-10	6.46290645e-10	1.35862599e-16	1.63839064e-16	0.0744162717	2.88568596e-19	1.89168876e-27	3.93131932e-19	1.58798548e-13	5.37422337e-29	4.879197300000001e-31	1.34830468e-19	1.20902954e-31	3.2295736299999994e-17	1.61938108e-18	1.8501273099999997e-17	2.12668973e-23	6.59385516e-09	0.000147790819	1.6808829199999998e-28	4.04991021e-26	7.00396322e-06	1.38674305e-26	1.254638e-32	4.11409053e-20	5.3570263799999994e-40	1.9325250199999997e-46	2.38049569e-37	1.2360145700000001e-15	6.367528870000001e-26	3.22863371e-50	1.6680135299999999e-40	0.000542801576	8.01194946e-36	3.62400031e-21	1.5306973299999997e-36	6.14005045e-25	2.51930686e-57	5.37307828e-25	7.951123829999999e-42	8.628705229999999e-48	2.03158117e-07	2.73329872e-13	2.68219739e-09	1.53546545e-14	1.42162229e-16	1.09264241e-14	1.24647738e-20	1.13081396e-05	0.000305383224	2.6307404e-09	1.45791324e-06	9.81385151e-07	8.34931675e-12	2.9350037500000004e-26	2.4170607499999997e-24	8.33038294e-06	2.3558843e-22	1.3604334000000002e-21	2.20300997e-26	6.42636795e-35	3.21170292e-42	4.99967183e-60	1.0231786000000001e-69	1.93964705e-15	3.2014848799999996e-46	1.88979005e-07	4.78438578e-14	6.92760046e-17	1.36487315e-27	1.9147162499999997e-24	0.0
850.392917	0.0227665223	23682946.1	592867344.0	4.722726590045674	1.5207570713648073e-08	4.00026418e-21	0.567412925	9.62356901e-18	0.315209581	1.4150916100000001e-21	4.32152545e-09	3.25000572e-08	6.26773764e-09	8.62052096e-07	9.86210217e-08	7.72900553e-10	0.018790705	1.02785959e-07	1.3407785e-09	3.95347979e-09	1.2388515600000001e-15	1.2570458500000001e-15	0.0977660069	5.68970369e-18	2.69611368e-26	3.1019431e-18	3.75460172e-13	7.62956906e-28	2.2272056600000002e-29	8.46034984e-19	1.4417119300000002e-31	1.47629671e-16	7.02429003e-18	3.49998743e-18	1.47207476e-23	3.06810738e-09	0.000192764022	9.62609119e-28	5.695827730000001e-25	8.25034485e-06	6.93419591e-25	8.31107112e-32	7.098199200000001e-20	6.39848896e-39	7.98127603e-45	2.4163525299999998e-36	2.9428048600000003e-15	1.0582347399999999e-24	2.9565542499999998e-49	1.73806753e-39	0.000339684938	3.4580483099999997e-34	2.89404529e-20	1.05440879e-34	1.2816642600000001e-23	4.0587992299999995e-55	2.85033424e-24	1.67989565e-41	6.17468489e-47	2.10907319e-07	1.07084842e-12	3.2960196e-09	8.02225485e-14	2.58150458e-16	8.40819767e-15	7.48266972e-20	1.47300623e-05	0.000246808629	1.17305921e-08	1.67454527e-06	4.04452157e-06	4.43472416e-12	5.21792625e-26	5.7510789599999995e-24	1.13851531e-05	8.89794361e-22	9.144747910000001e-21	1.98766206e-26	2.0285592099999997e-34	3.25244032e-40	3.6895082900000002e-59	2.8301204899999997e-63	4.6825223500000006e-15	6.10216233e-45	9.77278016e-08	1.52514099e-13	1.10060409e-16	1.2676762000000001e-26	7.20976865e-24	0.0
860.804195	0.0412620011	22062267.9	466145281.0	5.307506722205856	3.060035354806794e-08	2.44012928e-20	0.694813367	1.1863604500000001e-16	0.170584627	3.49427122e-21	3.83694633e-09	1.34945536e-08	8.74079462e-09	1.21154243e-06	3.10387748e-07	7.56425638e-11	0.0217639919	3.51755088e-08	2.67984967e-09	1.61473831e-08	8.372027180000001e-15	7.14767661e-15	0.112170724	5.867261839999999e-17	2.5279567400000003e-25	1.6129905599999998e-17	7.71823245e-13	7.10878702e-27	4.97071239e-28	3.79459348e-18	4.17367259e-31	5.57711508e-16	2.5569255799999998e-17	6.76340249e-19	9.75820457e-24	1.79009491e-09	0.000220569521	6.548242910000001e-25	5.8520728399999995e-24	9.04304768e-06	1.82953373e-23	3.7478900600000002e-31	1.04477411e-19	5.18188401e-38	1.70921161e-43	2.88525062e-33	6.161165510000001e-15	1.1305995000000001e-23	3.2104431699999997e-46	1.57892432e-38	0.000206408406	9.81871498e-33	1.53737372e-19	4.53933236e-33	1.44167906e-22	0.0	1.3224425500000001e-23	8.540109380000001e-41	9.156653e-46	2.31940077e-07	3.36886573e-12	4.5490349e-09	3.19785059e-13	2.46512602e-16	6.06772241e-15	1.7763707499999999e-19	1.6504731e-05	0.000179149069	4.24800339e-08	2.83219492e-06	1.74271113e-05	1.62710759e-12	3.4422060000000004e-26	1.5108881100000002e-23	1.34278216e-05	2.0678655500000002e-21	3.36447337e-20	1.1420608300000001e-26	2.3499922e-34	1.49632788e-38	3.29584129e-59	5.31784915e-57	9.653147560000002e-15	4.13972851e-44	4.5422318e-08	4.98327951e-13	1.33952218e-16	5.380226240000001e-26	1.38757603e-23	0.0
